m,r,rho,T,P,l,eps,kappa,nabla_ad,nabla,transport
1.0568357467799459,0.3810590231560705,14.185077721962868,10271067.641476821,1.949981585859836e+16,13.738760926727366,0.7111715439702001,1.4213438510656975,0.3982880857655216,0.2456520439384059,radiative
1.0907861878466165,0.3888815170629626,13.357382599510597,10074475.390400166,1.8010606950495538e+16,13.750422424024963,0.6129864453851648,1.440294819257056,0.3982844501761311,0.24086816189736435,radiative
1.0980450094565741,0.39057442326541636,13.182990267670302,10032676.950558491,1.770173037963266e+16,13.752697527925575,0.5935307809033458,1.4442871473070225,0.39828331370156683,0.23981851320021264,radiative
1.1041544161522185,0.39200517918687316,13.036915218088254,9997560.588309497,1.7444327788924012e+16,13.754556182064963,0.5775558619950802,1.447804011358906,0.39828225422000185,0.2389558160065879,radiative
1.1102638228478632,0.393441476017563,12.891526877212268,9962467.964549216,1.7189255492760238e+16,13.756364688391946,0.5619326024810821,1.4536703976210141,0.39828112193120974,0.2384765916434138,radiative
1.1236006830939156,0.3965967568523216,12.576649331610007,9885845.31843627,1.6640467252283168e+16,13.760143707462426,0.529000565845316,1.4665768620064425,0.3982784562048022,0.23743190642990722,radiative
1.1548000267695195,0.4040907413504701,11.853456485377206,9706456.353326865,1.5399093956669772e+16,13.768132405306766,0.45795306248714357,1.4973238460356726,0.3982711415446515,0.23498997598375343,radiative
1.1851913258516953,0.41155611999483943,11.167033868420196,9531400.182312045,1.4245811374673664e+16,13.774867530805947,0.39625574909128697,1.5280573128649968,0.39826247214716665,0.23260121883147314,radiative
1.2147872452132409,0.41900009151038303,10.515663711558192,9360491.659559924,1.31744260724796e+16,13.780541334754798,0.34268933751105357,1.558769422074296,0.39825243892911827,0.2302491296072507,radiative
1.2435998935263932,0.42642926755965943,9.89771662107831,9193571.79044301,1.2179230698961798e+16,13.785317006759659,0.2961970053361355,1.589446249515399,0.3982410204502548,0.22791751428436544,radiative
1.271641059389617,0.4338497891189258,9.311641440356619,9030504.455829145,1.1254949859767488e+16,13.78933311457985,0.25586096699417427,1.6200674513622304,0.3982281826080582,0.22559025734197463,radiative
1.2989223708139064,0.44126741964229516,8.755957793325491,8871173.934809988,1.0396695972254692e+16,13.79270732029053,0.22088300840129496,1.6506057858616194,0.398213878047571,0.22325112500931815,radiative
1.3254553957282516,0.44868761964323123,8.229250592009903,8715483.055361828,9599932672782996.0,13.79553950966959,0.19056815194738766,1.6810265035671368,0.39819804529983505,0.22088359941497757,radiative
1.3512516957460627,0.4561156056830677,7.730166000663824,8563351.850354426,8860444025218717.0,13.797914439461486,0.164310833436746,1.7112866143074148,0.3981806076540131,0.21847074166289562,radiative
1.3763228421806402,0.4635563956585316,7.257408484168737,8414716.625966039,8174308235137775.0,13.799903984470099,0.14158312267541476,1.7413340397899006,0.39816147176269373,0.2159950846314635,radiative
1.4006804019590398,0.4710148417133905,6.809738647093168,8269529.363558483,7537874875544644.0,13.80156904981169,0.1219246263111691,1.7711066650764151,0.39814052597628646,0.21343855882180593,radiative
1.4243358441228806,0.4784956336713008,6.3859726208672,8127757.720643205,6947746223208855.0,13.802961198068813,0.10493382815761905,1.8005312388891337,0.39811763845855974,0.2107824635898541,radiative
1.4473263647429144,0.48601191222230833,5.984534605207418,7989228.547451197,6400156892876722.0,13.804125256405992,0.09024496676693433,1.8295551691306322,0.39809262515328875,0.20800423145495037,radiative
